Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,52.919998,52.919998,52.060001,52.139999,38.908138,2778800
2011-01-05,52.099998,52.250000,51.950001,52.090000,38.870838,2926900
2011-01-06,52.150002,52.150002,51.430000,51.610001,38.512642,3775500
2011-01-07,51.639999,52.080002,51.639999,52.020000,38.818596,3069500
2011-01-10,52.060001,52.060001,51.279999,51.689999,38.572350,2526100
2011-01-11,52.000000,52.660000,51.900002,52.560001,39.221550,4738200
2011-01-12,52.779999,53.040001,52.759998,53.009998,39.557358,3544100
2011-01-13,53.119999,53.169998,52.919998,52.950001,39.512589,1890600
2011-01-14,53.009998,53.919998,53.000000,53.889999,40.214046,3815100
2011-01-17,53.790001,54.110001,53.759998,53.970001,40.273735,1411100
2011-01-18,54.110001,54.299999,54.009998,54.130001,40.393147,2698900
2011-01-19,54.150002,54.240002,53.770000,54.000000,40.296112,2518900
2011-01-20,53.919998,54.139999,53.750000,54.020000,40.311047,2128500
2011-01-21,54.150002,54.240002,53.689999,53.770000,40.124493,6899700
2011-01-24,53.500000,53.500000,53.110001,53.430000,40.245007,3469800
2011-01-25,53.200001,53.750000,52.980000,53.369999,40.199814,3322900
2011-01-26,53.490002,53.500000,52.900002,52.900002,39.845795,3205900
2011-01-27,53.000000,53.930000,52.990002,53.459999,40.267612,5176500
2011-01-28,53.349998,53.900002,53.040001,53.340000,40.177216,5634300
2011-01-31,53.340000,53.939999,53.340000,53.680000,40.433311,3048900
2011-02-01,53.770000,54.330002,53.770000,54.330002,40.922920,3445200
2011-02-02,54.330002,54.340000,53.959999,53.980000,40.659275,1957700
2011-02-03,53.950001,54.700001,53.939999,54.650002,41.163944,3132200
2011-02-04,54.520000,54.939999,54.419998,54.910000,41.359783,2239600
2011-02-07,54.990002,55.090000,54.360001,54.450001,41.013298,3980300
2011-02-08,54.419998,54.900002,54.250000,54.599998,41.126282,3428300
2011-02-09,54.549999,55.000000,54.500000,54.650002,41.163944,2614700
2011-02-10,54.500000,55.139999,54.250000,55.020000,41.442635,3597300
2011-02-11,54.799999,55.250000,54.680000,54.910000,41.359783,2419600
2011-02-14,55.139999,55.369999,55.000000,55.340000,41.683678,2699600
2011-02-15,55.250000,55.889999,55.200001,55.720001,41.969906,2891000
2011-02-16,55.900002,56.660000,55.849998,56.169998,42.308853,3740000
2011-02-17,56.279999,56.529999,56.080002,56.500000,42.557411,2590300
2011-02-18,56.500000,57.119999,56.330002,57.099998,43.009354,3819500
2011-02-22,56.599998,57.299999,56.299999,56.490002,42.549885,3327000
2011-02-23,56.099998,56.509998,56.000000,56.139999,42.286259,4927000
2011-02-24,56.380001,57.330002,56.180000,56.639999,42.662865,4312200
2011-02-25,56.770000,57.279999,56.599998,56.740002,42.738205,3130400
2011-02-28,56.950001,57.169998,56.689999,56.790001,42.775848,3359500
2011-03-01,56.799999,57.240002,56.360001,56.560001,42.602612,2988900
2011-03-02,56.450001,57.250000,56.419998,56.939999,42.888840,3083200
2011-03-03,59.939999,60.610001,59.509998,59.919998,45.133453,11072000
2011-03-04,59.869999,59.970001,59.410000,59.590000,44.884903,3969000
2011-03-07,59.570000,60.000000,59.450001,59.590000,44.884903,5167200
2011-03-08,59.439999,60.849998,59.439999,60.540001,45.600460,3993700
2011-03-09,60.400002,61.529999,60.389999,60.790001,45.788769,5721400
2011-03-10,60.250000,60.529999,59.250000,59.400002,44.741779,4978400
2011-03-11,58.939999,60.020000,58.880001,59.779999,45.028008,2646300
2011-03-14,59.320000,60.049999,59.320000,60.049999,45.231377,2453200
2011-03-15,58.700001,59.970001,58.500000,59.590000,44.884903,4419700
2011-03-16,59.119999,59.200001,58.560001,59.060001,44.485691,5061100
2011-03-17,59.639999,59.910000,59.029999,59.759998,45.012939,2764300
2011-03-18,60.000000,60.000000,59.020000,59.169998,44.568535,7439200
2011-03-21,59.150002,60.049999,59.150002,60.040001,45.223850,2343400
2011-03-22,60.000000,60.299999,59.840000,59.980000,45.178646,1987900
2011-03-23,60.099998,60.200001,59.619999,60.020000,45.208782,2267900
2011-03-24,59.720001,59.990002,59.570000,59.630001,44.915024,3245600
2011-03-25,59.529999,60.000000,59.529999,59.680000,44.952690,1912600
2011-03-28,59.790001,59.959999,59.310001,59.419998,44.756840,1306300
2011-03-29,59.590000,59.810001,59.330002,59.770000,45.020470,1676300
2011-03-30,59.869999,60.540001,59.849998,60.160000,45.314232,2967800
2011-03-31,60.279999,60.430000,59.990002,59.990002,45.186188,2555900
2011-04-01,60.099998,60.950001,60.099998,60.660000,45.690849,2741600
2011-04-04,60.900002,61.060001,60.279999,60.599998,45.645653,2088800
2011-04-05,60.500000,60.730000,60.009998,60.299999,45.419697,2237800
2011-04-06,60.400002,60.480000,59.660000,60.279999,45.404625,2615100
2011-04-07,60.150002,60.400002,59.790001,60.290001,45.412151,3526300
2011-04-08,60.450001,60.660000,60.299999,60.450001,45.532673,2371200
2011-04-11,60.540001,60.799999,59.900002,60.200001,45.344364,2006700
2011-04-12,59.840000,60.000000,59.320000,59.799999,45.043076,2895100
2011-04-13,60.099998,60.549999,59.560001,60.419998,45.510071,3524800
2011-04-14,60.590000,60.680000,59.980000,60.209999,45.351902,2650100
2011-04-15,60.130001,60.599998,60.049999,60.049999,45.231377,2215300
2011-04-18,59.880001,59.970001,59.330002,59.730000,44.990353,2273500
2011-04-19,59.650002,60.000000,59.520000,59.849998,45.080730,1582800
2011-04-20,60.110001,60.369999,59.889999,60.000000,45.193722,1862500
2011-04-21,59.740002,60.150002,59.540001,59.959999,45.543106,3384400
2011-04-25,59.840000,60.040001,59.590000,59.680000,45.330433,1279000
2011-04-26,59.880001,60.049999,59.689999,59.950001,45.535515,1520000
2011-04-27,59.950001,59.980000,59.310001,59.580002,45.254494,2000000
2011-04-28,59.549999,59.740002,59.270000,59.630001,45.292458,1900000
2011-04-29,59.430000,59.830002,58.959999,59.599998,45.269680,2200000
2011-05-02,59.480000,60.250000,59.459999,59.820000,45.436779,2076600
2011-05-03,60.000000,60.150002,58.709999,58.930000,44.760773,2605100
2011-05-04,58.750000,58.930000,58.220001,58.230000,44.229076,1833200
2011-05-05,58.060001,58.470001,57.580002,58.310001,44.289848,2322800
2011-05-06,58.439999,58.770000,57.939999,58.680000,44.570873,2266100
2011-05-09,58.750000,58.900002,58.250000,58.900002,44.737991,1382900
2011-05-10,59.000000,59.080002,58.410000,58.590000,44.502518,1700000
2011-05-11,58.459999,58.580002,58.099998,58.349998,44.320225,2470500
2011-05-12,58.110001,58.599998,57.810001,58.320000,44.297443,2300000
2011-05-13,58.279999,58.500000,57.980000,58.450001,44.396191,1700000
2011-05-16,58.320000,59.080002,58.200001,58.820000,44.677216,2400000
2011-05-17,58.689999,59.419998,58.639999,59.169998,44.943058,3424400
2011-05-18,59.360001,60.060001,59.180000,59.810001,45.429184,1988500
2011-05-19,59.810001,59.950001,59.419998,59.910000,45.505138,1824800
2011-05-20,59.700001,60.139999,59.590000,60.000000,45.573494,2024300
2011-05-24,59.730000,59.880001,59.400002,59.400002,45.117767,1900000
2011-05-25,59.279999,59.869999,59.169998,59.830002,45.444378,1794200
2011-05-26,59.369999,59.490002,58.900002,59.150002,44.927879,2499000
2011-05-27,57.599998,57.900002,57.330002,57.360001,43.568264,6300000
2011-05-30,57.430000,57.540001,57.060001,57.099998,43.370777,1477400
2011-05-31,57.490002,57.549999,56.459999,56.619999,43.006187,4782500
2011-06-01,56.700001,56.830002,54.849998,54.880001,41.684559,4201100
2011-06-02,55.099998,55.480000,54.599998,55.130001,41.874451,2707100
2011-06-03,54.820000,55.340000,54.450001,55.230000,41.950413,2100000
2011-06-06,55.360001,55.360001,54.160000,54.430000,41.342758,2421900
2011-06-07,54.509998,54.959999,53.950001,54.400002,41.319973,2800000
2011-06-08,54.160000,54.560001,54.080002,54.380001,41.304783,2119400
2011-06-09,54.500000,54.910000,54.000000,54.860001,41.669373,3234300
2011-06-10,54.490002,54.790001,53.880001,54.340000,41.274391,2198600
2011-06-13,54.250000,54.500000,53.950001,54.130001,41.114891,2100100
2011-06-14,54.419998,54.680000,54.130001,54.400002,41.319973,3847800
2011-06-15,54.099998,54.330002,53.650002,53.779999,40.849052,2001400
2011-06-16,53.619999,54.029999,53.450001,53.689999,40.780685,2430000
2011-06-17,53.860001,54.669998,53.860001,54.330002,41.266792,5378000
2011-06-20,54.680000,55.000000,54.279999,54.540001,41.426311,2672700
2011-06-21,54.709999,55.209999,54.389999,54.709999,41.555439,2694600
2011-06-22,54.619999,55.130001,54.500000,54.540001,41.426311,1657900
2011-06-23,54.250000,54.299999,53.660000,53.820000,40.879425,3268700
2011-06-24,54.220001,54.220001,53.709999,53.919998,40.955379,1967500
2011-06-27,53.919998,54.209999,53.720001,53.900002,40.940197,2950900
2011-06-28,54.000000,54.599998,54.000000,54.490002,41.388336,1859200
2011-06-29,54.660000,54.900002,54.330002,54.730000,41.570614,2300000
2011-06-30,54.950001,55.130001,54.520000,55.130001,41.874451,2365700
2011-07-04,55.310001,55.700001,55.169998,55.580002,42.216255,904900
2011-07-05,55.709999,55.810001,54.849998,54.849998,41.661762,3191400
2011-07-06,54.889999,54.939999,54.549999,54.810001,41.631390,2265000
2011-07-07,54.930000,55.119999,54.500000,54.570000,41.449104,1960600
2011-07-08,54.369999,54.919998,54.310001,54.520000,41.411110,1626600
2011-07-11,54.270000,54.480000,53.759998,54.029999,41.038933,2313800
2011-07-12,53.650002,53.980000,53.500000,53.500000,40.636372,3112500
2011-07-13,53.650002,54.200001,53.220001,53.349998,40.522430,3129800
2011-07-14,53.529999,53.740002,53.119999,53.349998,40.522430,1861700
2011-07-15,53.599998,53.599998,52.820000,53.049999,40.294567,2232000
2011-07-18,52.919998,53.040001,52.009998,52.450001,39.838829,2547000
2011-07-19,52.500000,53.060001,52.450001,53.060001,40.302158,2554600
2011-07-20,53.360001,53.779999,53.200001,53.560001,40.681938,2690400
2011-07-21,53.810001,54.540001,53.730000,54.150002,41.130077,3222000
2011-07-22,53.950001,53.980000,53.160000,53.250000,40.853889,3062000
2011-07-25,52.799999,53.150002,52.500000,52.820000,40.523994,2734300
2011-07-26,52.599998,52.770000,51.930000,52.060001,39.940907,2495800
2011-07-27,51.889999,51.990002,51.310001,51.330002,39.380836,3042300
2011-07-28,51.330002,52.230000,50.939999,52.049999,39.933239,2677900
2011-07-29,51.599998,51.810001,51.060001,51.400002,39.434555,2344100
2011-08-02,51.770000,51.770000,49.700001,50.290001,38.582943,4217000
2011-08-03,50.200001,51.299999,49.009998,51.299999,39.357822,6713000
2011-08-04,50.939999,50.939999,49.410000,50.730000,38.920517,5879700
2011-08-05,50.700001,51.070000,49.410000,50.040001,38.391151,6232900
2011-08-08,48.099998,49.509998,47.980000,48.509998,37.217319,5881100
2011-08-09,49.180000,50.240002,48.490002,50.240002,38.544586,8182200
2011-08-10,50.189999,50.250000,48.540001,49.730000,38.153309,6548900
2011-08-11,49.689999,51.410000,49.160000,51.410000,39.442223,5652000
2011-08-12,51.799999,51.900002,50.730000,51.180000,39.265766,2913800
2011-08-15,51.639999,51.930000,51.299999,51.650002,39.626354,3178400
2011-08-16,51.419998,51.439999,50.849998,51.389999,39.426884,2800900
2011-08-17,51.560001,52.060001,51.500000,51.680000,39.649364,2925900
2011-08-18,50.709999,51.450001,49.950001,50.450001,38.705704,3522200
2011-08-19,49.750000,50.270000,48.709999,48.970001,37.570232,5550700
2011-08-22,49.849998,49.880001,48.259998,48.480000,37.194286,3296900
2011-08-23,49.080002,50.139999,48.009998,50.060001,38.406487,6102800
2011-08-24,50.150002,51.320000,49.919998,51.279999,39.342464,4566600
2011-08-25,51.650002,52.000000,50.259998,50.759998,38.943535,3154800
2011-08-26,48.810001,49.750000,47.910000,48.980000,37.577896,9362500
2011-08-29,49.400002,49.500000,48.869999,49.169998,37.723663,3004100
2011-08-30,49.150002,49.290001,48.410000,48.930000,37.539539,3704700
2011-08-31,49.250000,50.119999,49.029999,50.119999,38.452515,5314600
2011-09-01,50.290001,50.439999,49.020000,49.099998,37.669960,4708300
2011-09-02,48.700001,49.270000,48.529999,48.930000,37.539539,2856700
2011-09-06,48.279999,48.349998,47.910000,48.220001,36.994823,4353700
2011-09-07,48.750000,49.220001,48.450001,49.070000,37.646954,2289600
